productId,productName,rating,price,discount,positiveReviews,negativeReviews,totalReviews,releaseDate,category,sales,seller
31,Apple iPad Air amz,0,48,43,91,68,159,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 15, 'month2': 15, 'month3': 34, 'totalSales': 64}",Amazon
32,Sony X900H 65-Inch TV amz,3,58,17,10,83,93,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 90, 'month2': 45, 'month3': 78, 'totalSales': 213}",Amazon
33,Garmin Venu 2S Fitness Smartwatch amz,4,46,46,6,27,33,2023-06-24T05:33:09.614Z,Toys,"{'month1': 79, 'month2': 46, 'month3': 41, 'totalSales': 166}",Amazon
34,Oculus Quest 2 VR Headset amz,0,72,50,32,22,54,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 78, 'month2': 100, 'month3': 83, 'totalSales': 261}",Amazon
35,iRobot Braava Jet M6 Robot Mop amz,4,46,10,34,55,89,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 46, 'month2': 12, 'month3': 26, 'totalSales': 84}",Amazon
36,Samsung Galaxy Buds Pro amz,0,23,46,63,66,129,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 28, 'month2': 75, 'month3': 77, 'totalSales': 180}",Amazon
37,All-New Fire HD 10 Tablet amz,5,29,26,55,72,127,2023-06-24T05:33:09.614Z,Toys,"{'month1': 39, 'month2': 54, 'month3': 62, 'totalSales': 155}",Amazon
38,Beats Solo Pro Wireless Headphones amz,4,22,25,19,39,58,2023-06-24T05:33:09.614Z,Sports,"{'month1': 10, 'month2': 88, 'month3': 44, 'totalSales': 142}",Amazon
39,Canon EOS M50 Mark II Mirrorless Camera amz,5,16,35,51,46,97,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 78, 'month2': 11, 'month3': 47, 'totalSales': 136}",Amazon
40,Breville Barista Express Espresso Machine amz,3,98,33,63,81,144,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 14, 'month2': 36, 'month3': 29, 'totalSales': 79}",Amazon
41,LG OLED65CXPUA 65-Inch 4K Smart OLED TV amz,3,81,17,19,30,49,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 97, 'month2': 74, 'month3': 92, 'totalSales': 263}",Amazon
42,Fitbit Inspire 2 amz,2,93,11,22,45,67,2023-06-24T05:33:09.614Z,Mobiles,"{'month1': 68, 'month2': 13, 'month3': 49, 'totalSales': 130}",Amazon
43,Apple MacBook Pro amz,5,6,34,39,85,124,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 59, 'month2': 91, 'month3': 26, 'totalSales': 176}",Amazon
44,Microsoft Xbox Series X amz,5,71,43,11,33,44,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 99, 'month2': 19, 'month3': 75, 'totalSales': 193}",Amazon
45,Bose SoundLink Revolve Portable Bluetooth Speaker amz,4,20,32,57,67,124,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 46, 'month2': 81, 'month3': 35, 'totalSales': 162}",Amazon
46,Samsung Galaxy Tab S7 amz,2,78,12,81,44,125,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 63, 'month2': 85, 'month3': 11, 'totalSales': 159}",Amazon
47,Ninja Foodi Deluxe Pressure Cooker amz,0,6,36,29,61,90,2023-06-24T05:33:09.614Z,Books,"{'month1': 50, 'month2': 1, 'month3': 92, 'totalSales': 143}",Amazon
48,DJI Mavic Air 2 Drone amz,4,52,25,70,17,87,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 87, 'month2': 20, 'month3': 82, 'totalSales': 189}",Amazon
49,Fitbit Aria Air Smart Scale amz,5,63,16,84,82,166,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 67, 'month2': 81, 'month3': 37, 'totalSales': 185}",Amazon
50,Sony A7 III Full-Frame Mirrorless Camera amz,4,63,18,62,25,87,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 92, 'month2': 32, 'month3': 30, 'totalSales': 154}",Amazon
51,Samsung 970 EVO Plus SSD amz,5,61,35,15,83,98,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 32, 'month2': 9, 'month3': 17, 'totalSales': 58}",Amazon
52,Logitech MX Master 3 Wireless Mouse amz,1,25,35,54,56,110,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 17, 'month2': 96, 'month3': 51, 'totalSales': 164}",Amazon
53,Apple iPhone 12 Pro Max amz,1,35,39,51,97,148,2023-06-24T05:33:09.614Z,Books,"{'month1': 96, 'month2': 89, 'month3': 63, 'totalSales': 248}",Amazon
54,LG CX 55-Inch OLED 4K Smart TV amz,4,56,40,26,61,87,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 6, 'month2': 10, 'month3': 45, 'totalSales': 61}",Amazon
55,Bose SoundSport Wireless Earbuds amz,5,11,19,53,76,129,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 89, 'month2': 64, 'month3': 85, 'totalSales': 238}",Amazon
56,Microsoft Surface Laptop 4 amz,1,70,40,55,26,81,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 96, 'month2': 95, 'month3': 86, 'totalSales': 277}",Amazon
57,Roku Streaming Stick+ amz,1,2,38,51,44,95,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 70, 'month2': 59, 'month3': 79, 'totalSales': 208}",Amazon
58,Anker Soundcore Liberty Air 2 Pro Earbuds amz,3,39,46,79,93,172,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 98, 'month2': 86, 'month3': 88, 'totalSales': 272}",Amazon
59,Canon EOS R6 Mirrorless Camera amz,2,29,40,71,8,79,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 83, 'month2': 80, 'month3': 95, 'totalSales': 258}",Amazon
60,Sony WF-1000XM4 True Wireless Earbuds amz,4,15,39,21,28,49,2023-06-24T05:33:09.614Z,Sports,"{'month1': 31, 'month2': 60, 'month3': 96, 'totalSales': 187}",Amazon
61,Garmin Fenix 6 Pro amz,0,78,44,96,100,196,2023-06-24T05:33:09.614Z,Mobiles,"{'month1': 48, 'month2': 42, 'month3': 49, 'totalSales': 139}",Amazon
62,LG 27UK850-W 27-Inch 4K Monitor amz,4,33,41,73,66,139,2023-06-24T05:33:09.614Z,Books,"{'month1': 45, 'month2': 97, 'month3': 19, 'totalSales': 161}",Amazon
63,Crock-Pot Express Multi-Cooker amz,2,81,15,25,80,105,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 38, 'month2': 40, 'month3': 65, 'totalSales': 143}",Amazon
64,Samsung Galaxy S21 Ultra amz,5,54,19,46,47,93,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 36, 'month2': 62, 'month3': 1, 'totalSales': 99}",Amazon
65,ASUS ROG Strix G15 Gaming Laptop amz,3,6,45,71,0,71,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 13, 'month2': 46, 'month3': 28, 'totalSales': 87}",Amazon
66,Fitbit Sense Advanced Smartwatch amz,1,14,15,42,25,67,2023-06-24T05:33:09.614Z,Sports,"{'month1': 56, 'month2': 9, 'month3': 64, 'totalSales': 129}",Amazon
67,Sony X800H 55-Inch 4K Smart TV amz,4,40,41,8,94,102,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 88, 'month2': 38, 'month3': 93, 'totalSales': 219}",Amazon
68,Google Nest Cam Indoor Security Camera amz,0,13,30,5,59,64,2023-06-24T05:33:09.614Z,Sports,"{'month1': 55, 'month2': 49, 'month3': 5, 'totalSales': 109}",Amazon
69,Breville Smart Oven Air amz,5,33,25,13,53,66,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 68, 'month2': 73, 'month3': 17, 'totalSales': 158}",Amazon
70,Beats Powerbeats Pro Wireless Earphones amz,3,13,18,25,42,67,2023-06-24T05:33:09.614Z,Toys,"{'month1': 69, 'month2': 20, 'month3': 3, 'totalSales': 92}",Amazon
71,Bose Solo 5 TV Soundbar amz,1,73,49,21,2,23,2023-06-24T05:33:09.614Z,Sports,"{'month1': 18, 'month2': 7, 'month3': 27, 'totalSales': 52}",Amazon
72,Apple iMac 27-Inch Retina 5K Display amz,2,81,32,17,87,104,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 12, 'month2': 55, 'month3': 7, 'totalSales': 74}",Amazon
73,NVIDIA GeForce RTX 3080 Graphics Card amz,2,20,20,17,48,65,2023-06-24T05:33:09.614Z,Sports,"{'month1': 59, 'month2': 48, 'month3': 16, 'totalSales': 123}",Amazon
74,Nintendo Switch Lite amz,1,50,36,31,38,69,2023-06-24T05:33:09.614Z,Books,"{'month1': 51, 'month2': 98, 'month3': 28, 'totalSales': 177}",Amazon
75,Jabra Elite 85t True Wireless Earbuds amz,4,63,20,30,12,42,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 3, 'month2': 88, 'month3': 70, 'totalSales': 161}",Amazon
76,Canon EOS 90D DSLR Camera amz,3,95,16,21,92,113,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 1, 'month2': 15, 'month3': 25, 'totalSales': 41}",Amazon
77,Samsung Galaxy S20 FE amz,5,76,29,47,52,99,2023-06-24T05:33:09.614Z,Sports,"{'month1': 32, 'month2': 16, 'month3': 51, 'totalSales': 99}",Amazon
78,Logitech G502 HERO Gaming Mouse amz,1,21,28,16,29,45,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 39, 'month2': 84, 'month3': 84, 'totalSales': 207}",Amazon
79,LG OLED48C1 48-Inch 4K Smart OLED TV amz,4,7,39,31,31,62,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 49, 'month2': 22, 'month3': 8, 'totalSales': 79}",Amazon
80,Dyson V11 Animal Cordless Vacuum Cleaner amz,5,68,12,61,24,85,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 68, 'month2': 11, 'month3': 50, 'totalSales': 129}",Amazon
81,Philips Hue White and Color Ambiance Smart Bulb amz,1,50,38,72,31,103,2023-06-24T05:33:09.614Z,Toys,"{'month1': 27, 'month2': 91, 'month3': 11, 'totalSales': 129}",Amazon
82,Apple AirTag amz,3,93,22,97,14,111,2023-06-24T05:33:09.614Z,Sports,"{'month1': 37, 'month2': 76, 'month3': 80, 'totalSales': 193}",Amazon
83,Razer BlackWidow Elite Mechanical Gaming Keyboard amz,2,51,12,9,29,38,2023-06-24T05:33:09.614Z,Books,"{'month1': 93, 'month2': 31, 'month3': 4, 'totalSales': 128}",Amazon
84,Sony ZV-1 Compact Camera amz,4,1,26,54,34,88,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 43, 'month2': 94, 'month3': 57, 'totalSales': 194}",Amazon
85,Amazon Echo Show 10 (3rd generation) amz,0,52,32,73,6,79,2023-06-24T05:33:09.614Z,Sports,"{'month1': 49, 'month2': 39, 'month3': 78, 'totalSales': 166}",Amazon
86,HP Pavilion 27-Inch FHD Monitor amz,4,91,38,53,37,90,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 4, 'month2': 86, 'month3': 36, 'totalSales': 126}",Amazon
87,Bose QuietComfort Earbuds amz,3,19,29,83,54,137,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 59, 'month2': 4, 'month3': 94, 'totalSales': 157}",Amazon
88,Sony Alpha a6400 Mirrorless Camera amz,0,89,40,51,10,61,2023-06-24T05:33:09.614Z,Books,"{'month1': 63, 'month2': 56, 'month3': 30, 'totalSales': 149}",Amazon
89,Garmin Instinct Solar Outdoor GPS Watch amz,3,80,46,49,22,71,2023-06-24T05:33:09.614Z,Books,"{'month1': 20, 'month2': 36, 'month3': 72, 'totalSales': 128}",Amazon
90,Nintendo Switch Pro Controller amz,3,35,16,63,56,119,2023-06-24T05:33:09.614Z,Sports,"{'month1': 58, 'month2': 83, 'month3': 21, 'totalSales': 162}",Amazon
91,Fitbit Flex 2 amz,3,83,23,0,74,74,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 91, 'month2': 76, 'month3': 44, 'totalSales': 211}",Amazon
92,Apple iPad Pro amz,0,84,35,24,82,106,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 43, 'month2': 68, 'month3': 37, 'totalSales': 148}",Amazon
93,Samsung QN90A 75-Inch Neo QLED 4K Smart TV amz,3,68,23,10,84,94,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 68, 'month2': 78, 'month3': 64, 'totalSales': 210}",Amazon
94,Breville Joule Sous Vide amz,5,61,39,42,10,52,2023-06-24T05:33:09.614Z,Toys,"{'month1': 5, 'month2': 99, 'month3': 100, 'totalSales': 204}",Amazon
95,Sony WH-1000XM3 Wireless Noise-Canceling Headphones amz,5,20,49,86,6,92,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 37, 'month2': 39, 'month3': 16, 'totalSales': 92}",Amazon
96,LG Gram 17-Inch Laptop amz,2,76,14,45,11,56,2023-06-24T05:33:09.614Z,Sports,"{'month1': 1, 'month2': 91, 'month3': 27, 'totalSales': 119}",Amazon
97,Google Pixel 5 amz,1,9,13,52,73,125,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 47, 'month2': 2, 'month3': 63, 'totalSales': 112}",Amazon
98,Ring Stick Up Cam Battery amz,4,68,48,59,78,137,2023-06-24T05:33:09.614Z,Toys,"{'month1': 24, 'month2': 93, 'month3': 21, 'totalSales': 138}",Amazon
99,KitchenAid Artisan Series Stand Mixer amz,5,50,26,58,21,79,2023-06-24T05:33:09.614Z,Mobiles,"{'month1': 34, 'month2': 20, 'month3': 79, 'totalSales': 133}",Amazon
100,DJI Osmo Pocket Handheld Camera amz,1,79,28,32,39,71,2023-06-24T05:33:09.614Z,Books,"{'month1': 80, 'month2': 49, 'month3': 37, 'totalSales': 166}",Amazon
101,Echo Dot (4th generation) ebay,4,82,19,83,36,119,2023-06-24T05:33:09.614Z,Sports,"{'month1': 99, 'month2': 46, 'month3': 20, 'totalSales': 165}",eBay
102,Kindle Paperwhite ebay,5,72,36,76,72,148,2023-06-24T05:33:09.614Z,Mobiles,"{'month1': 64, 'month2': 75, 'month3': 75, 'totalSales': 214}",eBay
103,Apple AirPods Pro ebay,0,95,38,57,47,104,2023-06-24T05:33:09.614Z,Books,"{'month1': 1, 'month2': 60, 'month3': 50, 'totalSales': 111}",eBay
104,Instant Pot Duo ebay,5,84,40,93,70,163,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 95, 'month2': 13, 'month3': 95, 'totalSales': 203}",eBay
105,Fitbit Charge 4 ebay,0,97,39,52,19,71,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 22, 'month2': 51, 'month3': 89, 'totalSales': 162}",eBay
106,Sony WH-1000XM4 Wireless Headphones ebay,1,22,16,63,64,127,2023-06-24T05:33:09.614Z,Toys,"{'month1': 17, 'month2': 14, 'month3': 61, 'totalSales': 92}",eBay
107,Samsung Galaxy Watch 4 ebay,3,91,43,68,31,99,2023-06-24T05:33:09.614Z,Sports,"{'month1': 28, 'month2': 98, 'month3': 5, 'totalSales': 131}",eBay
108,Nintendo Switch ebay,1,30,15,32,29,61,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 36, 'month2': 50, 'month3': 89, 'totalSales': 175}",eBay
109,Philips Sonicare DiamondClean Toothbrush ebay,4,57,33,77,16,93,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 61, 'month2': 41, 'month3': 66, 'totalSales': 168}",eBay
110,Bose QuietComfort 35 II Wireless Headphones ebay,2,24,40,42,30,72,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 86, 'month2': 63, 'month3': 10, 'totalSales': 159}",eBay
111,Roomba Robot Vacuum ebay,1,15,46,19,90,109,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 97, 'month2': 96, 'month3': 11, 'totalSales': 204}",eBay
112,Anker PowerCore Portable Charger ebay,3,23,22,79,47,126,2023-06-24T05:33:09.614Z,Books,"{'month1': 12, 'month2': 79, 'month3': 5, 'totalSales': 96}",eBay
113,GoPro Hero9 Black ebay,2,96,26,46,23,69,2023-06-24T05:33:09.614Z,Mobiles,"{'month1': 86, 'month2': 46, 'month3': 71, 'totalSales': 203}",eBay
114,JBL Flip 5 Portable Speaker ebay,1,10,48,60,72,132,2023-06-24T05:33:09.614Z,Toys,"{'month1': 38, 'month2': 37, 'month3': 21, 'totalSales': 96}",eBay
115,Apple Watch Series 6 ebay,4,11,46,68,73,141,2023-06-24T05:33:09.614Z,Toys,"{'month1': 56, 'month2': 48, 'month3': 66, 'totalSales': 170}",eBay
116,Dyson Supersonic Hair Dryer ebay,3,26,11,42,95,137,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 29, 'month2': 5, 'month3': 12, 'totalSales': 46}",eBay
117,Ring Video Doorbell Pro ebay,4,1,36,26,38,64,2023-06-24T05:33:09.614Z,Toys,"{'month1': 83, 'month2': 11, 'month3': 1, 'totalSales': 95}",eBay
118,Sony PlayStation 5 ebay,2,31,24,68,92,160,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 37, 'month2': 65, 'month3': 78, 'totalSales': 180}",eBay
119,Nikon D3500 DSLR Camera ebay,4,14,44,0,51,51,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 36, 'month2': 2, 'month3': 66, 'totalSales': 104}",eBay
120,Garmin Forerunner 245 GPS Running Watch ebay,1,69,28,88,61,149,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 73, 'month2': 65, 'month3': 49, 'totalSales': 187}",eBay
121,NutriBullet Pro Blender ebay,0,72,34,75,73,148,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 11, 'month2': 84, 'month3': 73, 'totalSales': 168}",eBay
122,Microsoft Surface Pro 7 ebay,5,97,16,80,98,178,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 21, 'month2': 89, 'month3': 97, 'totalSales': 207}",eBay
123,Weber Spirit II E-310 Gas Grill ebay,2,63,30,37,27,64,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 28, 'month2': 56, 'month3': 80, 'totalSales': 164}",eBay
124,Vitamix 5200 Blender ebay,1,51,11,45,93,138,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 13, 'month2': 92, 'month3': 52, 'totalSales': 157}",eBay
125,TCL 55-Inch 4K Smart TV ebay,0,50,39,79,61,140,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 57, 'month2': 89, 'month3': 59, 'totalSales': 205}",eBay
126,AncestryDNA Genetic Testing Kit ebay,5,84,37,91,90,181,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 67, 'month2': 27, 'month3': 39, 'totalSales': 133}",eBay
127,Cuisinart 14-Cup Food Processor ebay,1,38,24,85,35,120,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 61, 'month2': 91, 'month3': 62, 'totalSales': 214}",eBay
128,Instant Pot Duo Crisp + Air Fryer ebay,1,23,44,69,60,129,2023-06-24T05:33:09.614Z,Traveling,"{'month1': 25, 'month2': 22, 'month3': 90, 'totalSales': 137}",eBay
129,KitchenAid Stand Mixer ebay,3,79,35,36,0,36,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 66, 'month2': 64, 'month3': 67, 'totalSales': 197}",eBay
130,Fitbit Versa 3 ebay,2,90,34,59,82,141,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 31, 'month2': 13, 'month3': 67, 'totalSales': 111}",eBay
131,Apple iPad Air ebay,5,43,47,32,35,67,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 82, 'month2': 47, 'month3': 66, 'totalSales': 195}",eBay
132,Sony X900H 65-Inch TV ebay,1,93,20,0,33,33,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 29, 'month2': 13, 'month3': 55, 'totalSales': 97}",eBay
133,Garmin Venu 2S Fitness Smartwatch ebay,3,28,14,62,66,128,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 35, 'month2': 78, 'month3': 57, 'totalSales': 170}",eBay
134,Oculus Quest 2 VR Headset ebay,1,69,49,8,67,75,2023-06-24T05:33:09.614Z,Daily life,"{'month1': 48, 'month2': 27, 'month3': 67, 'totalSales': 142}",eBay
135,iRobot Braava Jet M6 Robot Mop ebay,3,98,22,99,15,114,2023-06-24T05:33:09.614Z,Toys,"{'month1': 50, 'month2': 63, 'month3': 49, 'totalSales': 162}",eBay
136,Samsung Galaxy Buds Pro ebay,3,56,31,84,20,104,2023-06-24T05:33:09.614Z,Toys,"{'month1': 88, 'month2': 86, 'month3': 72, 'totalSales': 246}",eBay
137,All-New Fire HD 10 Tablet ebay,1,13,37,42,48,90,2023-06-24T05:33:09.614Z,Toys,"{'month1': 89, 'month2': 100, 'month3': 51, 'totalSales': 240}",eBay
138,Beats Solo Pro Wireless Headphones ebay,1,69,11,43,21,64,2023-06-24T05:33:09.614Z,Beauty,"{'month1': 10, 'month2': 17, 'month3': 67, 'totalSales': 94}",eBay
139,Canon EOS M50 Mark II Mirrorless Camera ebay,1,51,44,55,58,113,2023-06-24T05:33:09.614Z,Home Decor,"{'month1': 61, 'month2': 70, 'month3': 29, 'totalSales': 160}",eBay
140,Breville Barista Express Espresso Machine ebay,4,91,25,94,82,176,2023-06-24T05:33:09.614Z,Mobiles,"{'month1': 39, 'month2': 75, 'month3': 40, 'totalSales': 154}",eBay
141,LG OLED65CXPUA 65-Inch 4K Smart OLED TV ebay,0,10,49,23,88,111,2023-06-24T05:33:09.614Z,Gaming,"{'month1': 30, 'month2': 39, 'month3': 56, 'totalSales': 125}",eBay
142,Fitbit Inspire 2 ebay,1,31,29,9,36,45,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 69, 'month2': 31, 'month3': 23, 'totalSales': 123}",eBay
143,Apple MacBook Pro ebay,5,20,12,0,53,53,2023-06-24T05:33:09.614Z,Books,"{'month1': 13, 'month2': 27, 'month3': 25, 'totalSales': 65}",eBay
144,Microsoft Xbox Series X ebay,0,73,28,11,1,12,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 33, 'month2': 23, 'month3': 83, 'totalSales': 139}",eBay
145,Bose SoundLink Revolve Portable Bluetooth Speaker ebay,1,32,14,85,36,121,2023-06-24T05:33:09.614Z,Electronic,"{'month1': 93, 'month2': 95, 'month3': 11, 'totalSales': 199}",eBay
